object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
3,BRIEF.ICO   ,0.08405797,0.05775076,0.09,0.085,23975.0,23975.0,5.2990206377835385,5.2990206377835385,0,1,"[(0.09, 0.085)]",[23975.0],7,NT,a
4,BRIL.ICO    ,0.929,0.689,0.896,0.816,41789.0,18094.0,24.93130161062595,24.93130161062595,0,2,"[(0.898, 0.641), (0.896, 0.816)]","[18094.0, 41789.0]",7,NT,a
5,BTRHAM.ICO  ,0.37,0.394,0.369,0.48,20234.0,20234.0,16.34110461382583,16.34110461382583,0,1,"[(0.369, 0.48)]",[20234.0],7,NT,a
6,Bus.ico     ,0.249,0.921,0.093,0.888,30119.0,30119.0,30.295915566293754,49.21330104758266,0,1,"[(0.093, 0.888)]",[30119.0],7,NT,a
7,Butterf.ico ,0.109,0.822,0.508,0.918,52417.0,49131.0,77.97341662387254,12.90322440322574,0,2,"[(-1.0, -1.0), (0.508, 0.918)]","[49131.0, 52417.0]",7,NT,a
8,Cactus.ico  ,0.897,0.157,0.874,0.129,14500.0,14500.0,6.884714954157508,6.884714954157508,0,1,"[(0.874, 0.129)]",[14500.0],7,NT,a
9,CADEAU.ICO  ,0.1507246,0.2462006,0.596,0.314,38139.0,38139.0,85.57743015262419,90.60690550221474,0,1,"[(0.596, 0.314)]",[38139.0],7,NT,a
10,Cake.ico    ,0.477,0.03,0.498,0.061,10470.0,10470.0,7.114225186202642,7.114225186202642,0,1,"[(0.498, 0.061)]",[10470.0],7,NT,a
1,Bike.ico    ,0.149,0.929,0.105,0.896,16220.0,16220.0,10.450000000000003,10.450000000000003,0,1,"[(0.105, 0.896)]",[16220.0],8,DivRI,a
2,black.ico   ,0.3246377,0.8844985,0.318,0.78,9885.0,9885.0,19.894728946225772,19.894728946225772,0,1,"[(0.318, 0.78)]",[9885.0],8,DivRI,a
3,BLAD.ICO    ,0.868,0.526,0.56,0.465,35130.0,35130.0,59.65667188169315,70.44286834023725,0,1,"[(0.56, 0.465)]",[35130.0],8,DivRI,a
4,BLUSSER.ICO ,0.634,0.148,0.83,0.102,12731.0,12731.0,38.251865313994806,38.251865313994806,0,1,"[(0.83, 0.102)]",[12731.0],8,DivRI,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.666,0.751,26245.0,22269.0,57.22391694991008,63.34276850541193,0,2,"[(-1.0, -1.0), (0.666, 0.751)]","[22269.0, 26245.0]",8,DivRI,a
6,Bomb.ico    ,0.055,0.143,0.677,0.33,42047.0,42047.0,123.405402231831,14.928003885315679,0,1,"[(0.677, 0.33)]",[42047.0],8,DivRI,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.083,0.465,40299.0,40299.0,22.67558682100063,22.67558682100063,0,1,"[(0.083, 0.465)]",[40299.0],8,DivRI,a
8,Boot.ico    ,0.7014493,0.4589666,0.904,0.895,44295.0,44295.0,91.34869469618273,24.94009811360823,0,1,"[(0.904, 0.895)]",[44295.0],8,DivRI,a
9,bottle.ico  ,0.3391304,0.2644377,0.454,0.246,8006.0,8006.0,22.10458218683957,22.10458218683957,0,1,"[(0.454, 0.246)]",[8006.0],8,DivRI,a
10,Bow.ico     ,0.5913044,0.9148936,0.113,0.09,32028.0,32028.0,181.17120706317974,34.221391943776226,0,1,"[(0.113, 0.09)]",[32028.0],8,DivRI,a
1,Calcul.ico  ,0.603,0.239,0.521,0.243,28184.0,28184.0,15.598525571348075,15.598525571348075,0,1,"[(0.521, 0.243)]",[28184.0],9,B,a
2,Camel.ico   ,0.679,0.674,0.071,0.06,31247.0,31247.0,164.17803141711747,28.361597275188863,0,1,"[(0.071, 0.06)]",[31247.0],9,B,a
3,Camera.ico  ,0.278,0.346,0.331,0.366,18648.0,18648.0,10.763126869084095,10.763126869084095,0,1,"[(0.331, 0.366)]",[18648.0],9,B,a
4,Candle.ico  ,0.2318841,0.09118541,0.538,0.625,38833.0,38833.0,116.91794166141216,31.136950168752556,0,1,"[(0.538, 0.625)]",[38833.0],9,B,a
5,Cap.ico     ,0.684058,0.9392097,0.817,0.858,6854.0,6854.0,29.598921021636045,29.598921021636045,0,1,"[(0.817, 0.858)]",[6854.0],9,B,a
6,Cards.ico   ,0.8231884,0.4650456,0.75,0.552,13550.0,13550.0,21.594575837893007,21.594575837893007,0,1,"[(0.75, 0.552)]",[13550.0],9,B,a
7,Carrot.ico  ,0.2753623,0.8054711,0.331,0.841,23384.0,23384.0,12.542671801241154,21.13429161419067,0,1,"[(0.331, 0.841)]",[23384.0],9,B,a
8,Caterp.ico  ,0.885,0.221,0.841,0.221,20936.0,20936.0,8.360000000000007,8.360000000000007,0,1,"[(0.841, 0.221)]",[20936.0],9,B,a
9,CD.ico      ,0.094,0.557,0.083,0.59,3447.0,3447.0,6.609160309751897,6.609160309751897,0,1,"[(0.083, 0.59)]",[3447.0],9,B,a
10,Eagle.ico   ,0.4637681,0.5896657,0.173,0.849,35927.0,35927.0,74.0269765257302,54.00691052357105,0,1,"[(0.173, 0.849)]",[35927.0],9,B,a
1,Calcul.ico  ,0.2927536,0.212766,0.273,0.241,18697.0,18697.0,6.547046756321199,6.547046756321199,0,1,"[(0.273, 0.241)]",[18697.0],10,NT,a
