object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
8,Cigar.ico   ,0.615,0.35,0.595,0.36,109828.0,4.248529157249604,0,2,"[(0.658, 0.352), (0.595, 0.36)]","[69708.0, 109828.0]",17,DB,b
9,CLIP01.ICO  ,0.034,0.785,0.058,0.802,9469.0,5.5880676445440445,0,1,"[(0.058, 0.802)]",[9469.0],17,DB,b
10,ZOUT.ICO    ,0.9565217,0.1580547,0.888,0.131,63055.0,13.997185570091514,0,1,"[(0.888, 0.131)]",[63055.0],17,DB,b
1,Chain.ico   ,0.16,0.577,0.213,0.663,57041.0,19.193762007485674,0,1,"[(0.213, 0.663)]",[57041.0],18,D,b
2,Cheese.ico  ,0.409,0.349,0.434,0.364,74597.0,5.53940430010304,0,2,"[(0.413, 0.429), (0.434, 0.364)]","[41449.0, 74597.0]",18,D,b
3,Cherry.ico  ,0.159,0.031,0.186,0.091,33012.0,12.501075953692947,0,1,"[(0.186, 0.091)]",[33012.0],18,D,b
4,Chess.ico   ,0.673,0.773,0.701,0.844,85266.0,14.501120646350047,0,1,"[(0.701, 0.844)]",[85266.0],18,D,b
5,Chicken.ico ,0.8521739,0.4194529,0.811,0.397,95270.0,8.910620720369707,0,1,"[(0.811, 0.397)]",[95270.0],18,D,b
6,CHURC01B.ICO,0.206,0.196,0.364,0.18,101440.0,30.17353144728008,0,4,"[(0.371, 0.227), (0.345, 0.15), (0.326, 0.228), (0.364, 0.18)]","[36606.0, 76173.0, 79436.0, 101440.0]",18,D,b
7,CIG01B.ICO  ,0.824,0.601,0.9,0.596,88351.0,14.471216258490522,0,1,"[(0.9, 0.596)]",[88351.0],18,D,b
8,Cigar.ico   ,0.615,0.35,0.633,0.402,67006.0,10.455180534070188,0,1,"[(0.633, 0.402)]",[67006.0],18,D,b
9,CLIP01.ICO  ,0.034,0.785,0.056,0.832,46715.0,9.85988336645012,0,1,"[(0.056, 0.832)]",[46715.0],18,D,b
10,ZOUT.ICO    ,0.9565217,0.1580547,0.893,0.124,26566.0,13.694148953607087,0,1,"[(0.893, 0.124)]",[26566.0],18,D,b
1,JEEP.ICO    ,0.06666667,0.9118541,0.078,0.906,91590.0,2.4236349334687928,0,1,"[(0.078, 0.906)]",[91590.0],19,C,b
2,KAST.ICO    ,0.39,0.888,0.429,0.877,102574.0,7.699103843954824,0,1,"[(0.429, 0.877)]",[102574.0],19,C,b
3,KETTLE.ICO  ,0.899,0.095,0.876,0.108,67389.0,5.019741029176707,0,3,"[(0.879, 0.115), (0.887, 0.069), (0.876, 0.108)]","[59398.0, 63610.0, 67389.0]",19,C,b
4,Key.ico     ,0.735,0.07,0.742,0.064,217487.0,1.7517134468856501,0,3,"[(0.678, 0.058), (0.732, 0.071), (0.742, 0.064)]","[76319.0, 204518.0, 217487.0]",19,C,b
5,KLAVER.ICO  ,0.4869565,0.1762918,0.467,0.17,194939.0,3.9757182854911863,0,2,"[(0.514, 0.178), (0.467, 0.17)]","[130792.0, 194939.0]",19,C,b
6,KLOK.ICO    ,0.8318841,0.8996961,0.836,0.904,112278.0,1.131484506090116,0,1,"[(0.836, 0.904)]",[112278.0],19,C,b
7,Knife.ico   ,0.8347826,0.3647417,0.825,0.391,169227.0,5.324061672967837,0,1,"[(0.825, 0.391)]",[169227.0],19,C,b
8,Knight.ico  ,0.9449275,0.7173252,0.942,0.723,120102.0,1.2132301379247916,0,1,"[(0.942, 0.723)]",[120102.0],19,C,b
9,KONIJN.ICO  ,0.1942029,0.668693,0.216,0.671,155107.0,4.164580772238784,0,1,"[(0.216, 0.671)]",[155107.0],19,C,b
10,KRAAN.ICO   ,0.1275362,0.07294833,0.124,0.061,51381.0,2.3675197017687717,0,4,"[(0.121, 0.09), (0.132, 0.061), (0.143, 0.082), (0.124, 0.061)]","[28101.0, 32173.0, 39701.0, 51381.0]",19,C,b
