object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
9,bottle.ico  ,0.3391304,0.2644377,0.429,0.326,13281.0,13281.0,20.697325200487743,20.697325200487743,0,1,"[(0.429, 0.326)]",[13281.0],6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.78,0.901,31571.0,23735.0,35.94921588921729,35.94921588921729,0,2,"[(0.652, 0.923), (0.78, 0.901)]","[23735.0, 31571.0]",6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.612,0.563,26826.0,26826.0,68.32104022442047,68.32104022442047,0,1,"[(0.612, 0.563)]",[26826.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.067,0.459,8165.0,8165.0,14.879559805316823,14.879559805316823,0,1,"[(0.067, 0.459)]",[8165.0],7,NT,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.069,0.063,3310.0,3310.0,3.029871452331904,3.029871452331904,0,1,"[(0.069, 0.063)]",[3310.0],7,NT,a
4,BRIL.ICO    ,0.929,0.689,0.89,0.762,17076.0,17076.0,15.72529808938452,15.72529808938452,0,1,"[(0.89, 0.762)]",[17076.0],7,NT,a
5,BTRHAM.ICO  ,0.37,0.394,0.394,0.341,21108.0,21108.0,11.05434303791953,11.05434303791953,0,1,"[(0.394, 0.341)]",[21108.0],7,NT,a
6,Bus.ico     ,0.249,0.921,0.137,0.83,13956.0,13956.0,27.41865241035745,27.41865241035745,0,1,"[(0.137, 0.83)]",[13956.0],7,NT,a
7,Butterf.ico ,0.109,0.822,0.075,0.666,11430.0,11430.0,30.335807225125873,30.335807225125873,0,1,"[(0.075, 0.666)]",[11430.0],7,NT,a
8,Cactus.ico  ,0.897,0.157,0.915,0.254,24471.0,24471.0,18.744633898798877,18.744633898798877,0,1,"[(0.915, 0.254)]",[24471.0],7,NT,a
9,CADEAU.ICO  ,0.1507246,0.2462006,0.126,0.206,5743.0,5743.0,8.967102457721333,8.967102457721333,0,1,"[(0.126, 0.206)]",[5743.0],7,NT,a
10,Cake.ico    ,0.477,0.03,0.423,0.096,19218.0,19218.0,16.20244426004916,16.20244426004916,0,1,"[(0.423, 0.096)]",[19218.0],7,NT,a
1,Bike.ico    ,0.149,0.929,0.156,0.813,10794.0,10794.0,22.08009284400772,22.08009284400772,0,1,"[(0.156, 0.813)]",[10794.0],8,DivRI,a
2,black.ico   ,0.3246377,0.8844985,0.44,0.778,13451.0,13451.0,29.830841532946966,29.830841532946966,0,1,"[(0.44, 0.778)]",[13451.0],8,DivRI,a
3,BLAD.ICO    ,0.868,0.526,0.915,0.563,15883.0,15883.0,11.365113285841014,11.365113285841014,0,1,"[(0.915, 0.563)]",[15883.0],8,DivRI,a
4,BLUSSER.ICO ,0.634,0.148,0.712,0.058,27533.0,27533.0,22.62835389505829,22.62835389505829,0,1,"[(0.712, 0.058)]",[27533.0],8,DivRI,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.461,0.077,38580.0,38580.0,126.44333830190583,89.7462980619825,0,1,"[(0.461, 0.077)]",[38580.0],8,DivRI,a
6,Bomb.ico    ,0.055,0.143,0.134,0.075,32838.0,32838.0,19.804709035984345,19.804709035984345,0,1,"[(0.134, 0.075)]",[32838.0],8,DivRI,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.086,0.516,18660.0,18660.0,13.215658692276286,13.215658692276286,0,1,"[(0.086, 0.516)]",[18660.0],8,DivRI,a
8,Boot.ico    ,0.7014493,0.4589666,0.674,0.457,24226.0,24226.0,5.228735053184949,5.228735053184949,0,1,"[(0.674, 0.457)]",[24226.0],8,DivRI,a
9,bottle.ico  ,0.3391304,0.2644377,0.445,0.27,21020.0,21020.0,20.142967532485006,42.478956876961384,0,1,"[(0.445, 0.27)]",[21020.0],8,DivRI,a
10,Bow.ico     ,0.5913044,0.9148936,0.754,0.787,5196.0,5196.0,39.31973277642604,39.31973277642604,0,1,"[(0.754, 0.787)]",[5196.0],8,DivRI,a
1,Calcul.ico  ,0.603,0.239,0.517,0.247,34163.0,34163.0,16.410545390083772,16.410545390083772,0,1,"[(0.517, 0.247)]",[34163.0],9,B,a
2,Camel.ico   ,0.679,0.674,0.754,0.836,26655.0,26655.0,33.91859224673098,70.04483421352356,0,1,"[(0.754, 0.836)]",[26655.0],9,B,a
3,Camera.ico  ,0.278,0.346,0.206,0.311,13554.0,13554.0,15.210683745315336,15.210683745315336,0,1,"[(0.206, 0.311)]",[13554.0],9,B,a
4,Candle.ico  ,0.2318841,0.09118541,0.123,0.093,4585.0,4585.0,20.690851671822973,20.690851671822973,0,1,"[(0.123, 0.093)]",[4585.0],9,B,a
5,Cap.ico     ,0.684058,0.9392097,0.266,0.838,23553.0,23553.0,81.72560064046671,23.68845566779416,0,1,"[(0.266, 0.838)]",[23553.0],9,B,a
6,Cards.ico   ,0.8231884,0.4650456,0.849,0.648,7157.0,7157.0,35.10557929131083,35.10557929131083,0,1,"[(0.849, 0.648)]",[7157.0],9,B,a
