index,obj_name,correct_x,correct_y,placed_x_final,placed_y_final,time_ms_final,placed,distance,correct_binary,participant,group,trial,run
7,Carrot.ico  ,0.2753623,0.8054711,0.082,0.862,39188.0,1,0.20145593959101826,0,controle12,HC,11,a
8,Caterp.ico  ,0.885,0.221,0.443,0.498,52152.0,1,0.5216253444762822,0,controle12,HC,11,a
9,CD.ico      ,0.094,0.557,0.074,0.655,29288.0,1,0.10001999800039987,0,controle12,HC,11,a
10,Eagle.ico   ,0.4637681,0.5896657,0.262,0.726,43388.0,1,0.24351059018880475,0,controle12,HC,11,a
1,Cloaver.ico ,0.096,0.962,0.075,0.83,6271.0,1,0.1336600164596728,0,controle12,HC,12,a
2,Clock.ico   ,0.136,0.728,0.683,0.563,30856.0,1,0.5713440294603594,0,controle12,HC,12,a
3,Cola.ico    ,0.7507246,0.224924,0.772,0.288,18679.0,1,0.06656744265149442,1,controle12,HC,12,a
4,Compass.ico ,0.4144928,0.5197569,0.241,0.554,14776.0,1,0.17683987545078741,0,controle12,HC,12,a
5,Coptr.ico   ,0.3130435,0.7112462,0.443,0.503,16749.0,1,0.24546928872404797,0,controle12,HC,12,a
6,crab.ico    ,0.773913,0.7203647,0.775,0.857,21197.0,1,0.13663962373736985,0,controle12,HC,12,a
7,Cross.ico   ,0.04347826,0.4255319,0.096,0.325,4526.0,1,0.11342484776378411,0,controle12,HC,12,a
8,Cube.ico    ,0.5217391,0.8601823,0.442,0.691,12511.0,1,0.1870320151794874,0,controle12,HC,12,a
9,Cup.ico     ,0.915942,0.449848,0.101,0.555,28645.0,1,0.8216978802869094,0,controle12,HC,12,a
10,Cupb.ico    ,0.4637681,0.1337386,0.461,0.162,10388.0,1,0.028396639018905028,1,controle12,HC,12,a
1,Cutlery.ico ,0.08985507,0.9057751,0.061,0.926,16209.0,1,0.03523721959398754,1,controle12,HC,13,a
2,Dart.ico    ,0.4028986,0.4650456,0.423,0.565,9713.0,1,0.10195561956714298,0,controle12,HC,13,a
3,Desk.ico    ,0.871,0.156,0.868,0.225,18207.0,1,0.06906518659932803,1,controle12,HC,13,a
4,D'fly.ico   ,0.629,0.614,0.498,0.718,33298.0,1,0.16726326554267676,0,controle12,HC,13,a
5,Diamond.ico ,0.099,0.282,0.069,0.18,7088.0,1,0.10632027088001608,0,controle12,HC,13,a
6,Dice.ico    ,0.963,0.694,0.847,0.505,22231.0,1,0.22175887806353994,0,controle12,HC,13,a
7,Dolfin.ico  ,0.6869565,0.3586626,0.637,0.454,30744.0,1,0.10763304200388465,0,controle12,HC,13,a
8,DRUIVEN.ICO ,0.8956522,0.8905775,0.854,0.915,14317.0,1,0.048284203121621495,1,controle12,HC,13,a
9,Drum.ico    ,0.4376812,0.1155015,0.426,0.288,11888.0,1,0.1728935595552651,0,controle12,HC,13,a
10,Dust.ico    ,0.4086956,0.8024316,0.097,0.554,24962.0,1,0.39858801655082404,0,controle12,HC,13,a
1,Cloaver.ico ,0.096,0.962,0.067,0.87,8671.0,1,0.09646242791885344,1,controle12,HC,14,a
2,Clock.ico   ,0.136,0.728,0.682,0.62,51092.0,1,0.5565788353863269,0,controle12,HC,14,a
3,Cola.ico    ,0.7507246,0.224924,0.825,0.266,32758.0,1,0.08487680967826253,1,controle12,HC,14,a
4,Compass.ico ,0.4144928,0.5197569,0.225,0.622,36701.0,1,0.2153164479305982,0,controle12,HC,14,a
5,Coptr.ico   ,0.3130435,0.7112462,0.233,0.827,38960.0,1,0.1407334505605898,0,controle12,HC,14,a
6,crab.ico    ,0.773913,0.7203647,0.855,0.896,20019.0,1,0.1934498906050092,0,controle12,HC,14,a
7,Cross.ico   ,0.04347826,0.4255319,0.05,0.221,7055.0,1,0.2046358502565902,0,controle12,HC,14,a
8,Cube.ico    ,0.5217391,0.8601823,0.443,0.776,17308.0,1,0.11526710503044652,0,controle12,HC,14,a
9,Cup.ico     ,0.915942,0.449848,0.048,0.544,44702.0,1,0.8730337418840122,0,controle12,HC,14,a
10,Cupb.ico    ,0.4637681,0.1337386,0.498,0.421,28309.0,1,0.289293855633973,0,controle12,HC,14,a
1,Bal.ico     ,0.065,0.971,0.071,0.881,19500.0,1,0.09019977827023742,1,controle12,HC,13,b
2,BALLON.ICO  ,0.9072464,0.6048632,0.854,0.601,3204.0,1,0.053386359935848816,1,controle12,HC,13,b
3,BANAAN.ICO  ,0.177,0.797,0.555,0.233,28935.0,1,0.6789550795155745,0,controle12,HC,13,b
4,Bed.ico     ,0.963,0.298,0.882,0.224,17580.0,1,0.1097132626440395,0,controle12,HC,13,b
5,BEERTJE.ICO ,0.6811594,0.9300912,0.634,0.816,13133.0,1,0.12345367927202498,0,controle12,HC,13,b
6,Beetle.ico  ,0.293,0.425,0.241,0.573,9715.0,1,0.15686937240902057,0,controle12,HC,13,b
7,BEKER.ICO   ,0.62,0.042,0.36,0.099,39908.0,1,0.2661747546256031,0,controle12,HC,13,b
8,BEL.ICO     ,0.449,0.235,0.35,0.383,11317.0,1,0.17805897899291687,0,controle12,HC,13,b
9,frog.ico    ,0.043,0.494,0.077,0.732,14900.0,1,0.24041630560342614,0,controle12,HC,13,b
10,GELD.ICO    ,0.063,0.263,0.058,0.423,7580.0,1,0.1600781059358212,0,controle12,HC,13,b
1,Bal.ico     ,0.065,0.971,0.078,0.879,12968.0,1,0.0929139386744529,1,controle12,HC,14,b
2,BALLON.ICO  ,0.9072464,0.6048632,0.803,0.716,32262.0,1,0.15237683625538356,0,controle12,HC,14,b
3,BANAAN.ICO  ,0.177,0.797,0.48,0.233,36327.0,1,0.6402382369087307,0,controle12,HC,14,b
4,Bed.ico     ,0.963,0.298,0.885,0.361,26969.0,1,0.10026464980241039,0,controle12,HC,14,b
5,BEERTJE.ICO ,0.6811594,0.9300912,0.459,0.87,30729.0,1,0.230142893276764,0,controle12,HC,14,b
6,Beetle.ico  ,0.293,0.425,0.309,0.634,25289.0,1,0.2096115454835444,0,controle12,HC,14,b
7,BEKER.ICO   ,0.62,0.042,0.219,0.172,22724.0,1,0.42154596427910446,0,controle12,HC,14,b
8,BEL.ICO     ,0.449,0.235,0.622,0.558,35295.0,1,0.36641233603687534,0,controle12,HC,14,b
9,frog.ico    ,0.043,0.494,0.085,0.633,11410.0,1,0.14520674915443843,0,controle12,HC,14,b
10,GELD.ICO    ,0.063,0.263,0.078,0.39,16033.0,1,0.1278827588066507,0,controle12,HC,14,b
1,Chain.ico   ,0.16,0.577,0.099,0.527,4804.0,1,0.07887331614684394,1,controle12,HC,15,b
2,Cheese.ico  ,0.409,0.349,0.412,0.393,18361.0,1,0.04410215414239993,1,controle12,HC,15,b
