object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Cutlery.ico ,0.08985507,0.9057751,0.086,0.909,8160.0,0.954956420056897,0,1,"[(0.086, 0.909)]",[8160.0],13,NT,a
2,Dart.ico    ,0.4028986,0.4650456,0.48,0.375,16106.0,22.523485036815504,0,1,"[(0.48, 0.375)]",[16106.0],13,NT,a
3,Desk.ico    ,0.871,0.156,0.9,0.132,6482.0,7.152181485393113,0,1,"[(0.9, 0.132)]",[6482.0],13,NT,a
4,D'fly.ico   ,0.629,0.614,0.729,0.5,18938.0,28.812420932646386,0,1,"[(0.729, 0.5)]",[18938.0],13,NT,a
5,Diamond.ico ,0.099,0.282,0.108,0.186,28115.0,18.31998089518654,0,1,"[(0.108, 0.186)]",[28115.0],13,NT,a
6,Dice.ico    ,0.963,0.694,0.9,0.568,26705.0,26.76573369067248,0,1,"[(0.9, 0.568)]",[26705.0],13,NT,a
7,Dolfin.ico  ,0.6869565,0.3586626,0.195,0.611,35331.0,105.05047617240704,0,2,"[(-1.0, -1.0), (0.195, 0.611)]","[32785.0, 35331.0]",13,NT,a
8,DRUIVEN.ICO ,0.8956522,0.8905775,0.911,0.822,14577.0,13.352051071140695,0,1,"[(0.911, 0.822)]",[14577.0],13,NT,a
9,Drum.ico    ,0.4376812,0.1155015,0.442,0.153,3389.0,7.171813037050605,0,1,"[(0.442, 0.153)]",[3389.0],13,NT,a
10,Dust.ico    ,0.4086956,0.8024316,0.483,0.795,11531.0,14.188271516252849,0,1,"[(0.483, 0.795)]",[11531.0],13,NT,a
1,Cloaver.ico ,0.096,0.962,0.134,0.877,3071.0,17.690418310486606,0,1,"[(0.134, 0.877)]",[3071.0],14,DivRI,a
2,Clock.ico   ,0.136,0.728,0.094,0.63,6671.0,20.257956461597992,0,1,"[(0.094, 0.63)]",[6671.0],14,DivRI,a
3,Cola.ico    ,0.7507246,0.224924,0.814,0.238,17862.0,12.276349806187337,0,1,"[(0.814, 0.238)]",[17862.0],14,DivRI,a
4,Compass.ico ,0.4144928,0.5197569,0.42,0.437,21743.0,15.758588717113751,0,1,"[(0.42, 0.437)]",[21743.0],14,DivRI,a
5,Coptr.ico   ,0.3130435,0.7112462,0.312,0.62,24470.0,17.337911651393007,0,1,"[(0.312, 0.62)]",[24470.0],14,DivRI,a
6,crab.ico    ,0.773913,0.7203647,0.721,0.731,10497.0,10.254536353280384,0,1,"[(0.721, 0.731)]",[10497.0],14,DivRI,a
7,Cross.ico   ,0.04347826,0.4255319,0.104,0.366,7783.0,16.129789381810834,0,1,"[(0.104, 0.366)]",[7783.0],14,DivRI,a
8,Cube.ico    ,0.5217391,0.8601823,0.451,0.806,19886.0,16.929993581387137,0,1,"[(0.451, 0.806)]",[19886.0],14,DivRI,a
9,Cup.ico     ,0.915942,0.449848,0.795,0.547,15286.0,29.474798942398238,0,1,"[(0.795, 0.547)]",[15286.0],14,DivRI,a
10,Cupb.ico    ,0.4637681,0.1337386,0.408,0.135,8951.0,10.598649115961768,0,1,"[(0.408, 0.135)]",[8951.0],14,DivRI,a
1,Bal.ico     ,0.065,0.971,0.083,0.92,16327.0,10.275821135072357,0,1,"[(0.083, 0.92)]",[16327.0],15,DB,b
2,BALLON.ICO  ,0.9072464,0.6048632,0.761,0.917,25353.0,65.49280747167523,0,3,"[(0.93, 0.464), (0.933, 0.781), (0.761, 0.917)]","[10152.0, 13803.0, 25353.0]",15,DB,b
3,BANAAN.ICO  ,0.177,0.797,0.132,0.756,17793.0,11.566615753970565,0,1,"[(0.132, 0.756)]",[17793.0],15,DB,b
4,Bed.ico     ,0.963,0.298,0.904,0.333,11953.0,13.034055393468291,0,1,"[(0.904, 0.333)]",[11953.0],15,DB,b
5,BEERTJE.ICO ,0.6811594,0.9300912,0.907,0.592,23790.0,77.25074668986302,0,1,"[(0.907, 0.592)]",[23790.0],15,DB,b
6,Beetle.ico  ,0.293,0.425,0.233,0.385,31490.0,13.701094846763153,0,1,"[(0.233, 0.385)]",[31490.0],15,DB,b
7,BEKER.ICO   ,0.62,0.042,0.562,0.053,5712.0,11.216438828790524,0,1,"[(0.562, 0.053)]",[5712.0],15,DB,b
8,BEL.ICO     ,0.449,0.235,0.437,0.246,7121.0,3.092975913258947,0,1,"[(0.437, 0.246)]",[7121.0],15,DB,b
9,frog.ico    ,0.043,0.494,0.086,0.484,28393.0,8.388021220764763,0,1,"[(0.086, 0.484)]",[28393.0],15,DB,b
10,GELD.ICO    ,0.063,0.263,0.06,0.263,29984.0,0.5700000000000005,0,1,"[(0.06, 0.263)]",[29984.0],15,DB,b
1,Bal.ico     ,0.065,0.971,0.071,0.904,15704.0,12.780942844720016,0,1,"[(0.071, 0.904)]",[15704.0],16,D,b
2,BALLON.ICO  ,0.9072464,0.6048632,0.868,0.893,13016.0,55.2514954089201,0,1,"[(0.868, 0.893)]",[13016.0],16,D,b
3,BANAAN.ICO  ,0.177,0.797,0.233,0.776,17840.0,11.363524981272322,0,1,"[(0.233, 0.776)]",[17840.0],16,D,b
4,Bed.ico     ,0.963,0.298,0.933,0.303,8657.0,5.778624403783293,0,1,"[(0.933, 0.303)]",[8657.0],16,D,b
5,BEERTJE.ICO ,0.6811594,0.9300912,0.906,0.585,11104.0,78.25629984417473,0,1,"[(0.906, 0.585)]",[11104.0],16,D,b
6,Beetle.ico  ,0.293,0.425,0.219,0.396,22737.0,15.101115852810342,0,1,"[(0.219, 0.396)]",[22737.0],16,D,b
7,BEKER.ICO   ,0.62,0.042,0.494,0.053,5439.0,24.03105698882178,0,1,"[(0.494, 0.053)]",[5439.0],16,D,b
8,BEL.ICO     ,0.449,0.235,0.397,0.29,6986.0,14.381129997326356,0,1,"[(0.397, 0.29)]",[6986.0],16,D,b
9,frog.ico    ,0.043,0.494,0.066,0.491,21224.0,4.407017131802418,0,1,"[(0.066, 0.491)]",[21224.0],16,D,b
10,GELD.ICO    ,0.063,0.263,0.052,0.336,23920.0,14.026581907221733,0,1,"[(0.052, 0.336)]",[23920.0],16,D,b
1,Chain.ico   ,0.16,0.577,0.217,0.536,21447.0,13.34065215797188,0,1,"[(0.217, 0.536)]",[21447.0],17,DB,b
2,Cheese.ico  ,0.409,0.349,0.36,0.405,8197.0,14.138093930937089,0,1,"[(0.36, 0.405)]",[8197.0],17,DB,b
3,Cherry.ico  ,0.159,0.031,0.075,0.115,1790.0,22.5708484554746,0,1,"[(0.075, 0.115)]",[1790.0],17,DB,b
4,Chess.ico   ,0.673,0.773,0.636,0.75,16947.0,8.277547946100954,0,1,"[(0.636, 0.75)]",[16947.0],17,DB,b
5,Chicken.ico ,0.8521739,0.4194529,0.854,0.476,12886.0,10.74954978881822,0,1,"[(0.854, 0.476)]",[12886.0],17,DB,b
6,CHURC01B.ICO,0.206,0.196,0.225,0.322,5045.0,24.210652614087046,0,1,"[(0.225, 0.322)]",[5045.0],17,DB,b
7,CIG01B.ICO  ,0.824,0.601,0.797,0.637,14685.0,8.549999999999994,0,1,"[(0.797, 0.637)]",[14685.0],17,DB,b
8,Cigar.ico   ,0.615,0.35,0.633,0.461,11038.0,21.365497887950102,0,1,"[(0.633, 0.461)]",[11038.0],17,DB,b
9,CLIP01.ICO  ,0.034,0.785,0.045,0.664,20343.0,23.084804525921374,0,1,"[(0.045, 0.664)]",[20343.0],17,DB,b
10,ZOUT.ICO    ,0.9565217,0.1580547,0.893,0.17,18623.0,12.280669604039433,0,1,"[(0.893, 0.17)]",[18623.0],17,DB,b
1,Chain.ico   ,0.16,0.577,0.309,0.609,10646.0,28.955526242843522,0,1,"[(0.309, 0.609)]",[10646.0],18,D,b
2,Cheese.ico  ,0.409,0.349,0.445,0.418,8886.0,14.78707881902305,0,2,"[(0.394, 0.309), (0.445, 0.418)]","[6800.0, 8886.0]",18,D,b
3,Cherry.ico  ,0.159,0.031,0.091,0.066,3913.0,14.53096349179916,0,1,"[(0.091, 0.066)]",[3913.0],18,D,b
4,Chess.ico   ,0.673,0.773,0.642,0.762,24608.0,6.249815997291447,0,1,"[(0.642, 0.762)]",[24608.0],18,D,b
5,Chicken.ico ,0.8521739,0.4194529,0.835,0.51,22901.0,17.510662402156065,0,2,"[(0.746, 0.51), (0.835, 0.51)]","[19352.0, 22901.0]",18,D,b
6,CHURC01B.ICO,0.206,0.196,0.249,0.252,5617.0,13.41486116215893,0,1,"[(0.249, 0.252)]",[5617.0],18,D,b
7,CIG01B.ICO  ,0.824,0.601,0.803,0.661,21095.0,12.078083457237746,0,1,"[(0.803, 0.661)]",[21095.0],18,D,b
8,Cigar.ico   ,0.615,0.35,0.59,0.484,17655.0,25.899306940534146,0,1,"[(0.59, 0.484)]",[17655.0],18,D,b
9,CLIP01.ICO  ,0.034,0.785,0.11,0.822,12424.0,16.060339348843158,0,1,"[(0.11, 0.822)]",[12424.0],18,D,b
10,ZOUT.ICO    ,0.9565217,0.1580547,0.906,0.17,14874.0,9.863786205285374,0,1,"[(0.906, 0.17)]",[14874.0],18,D,b
1,JEEP.ICO    ,0.06666667,0.9118541,0.061,0.911,22776.0,1.088828245744152,0,1,"[(0.061, 0.911)]",[22776.0],19,C,b
2,KAST.ICO    ,0.39,0.888,0.369,0.877,24643.0,4.5042424446292895,0,1,"[(0.369, 0.877)]",[24643.0],19,C,b
3,KETTLE.ICO  ,0.899,0.095,0.915,0.099,65299.0,3.133560275469425,0,4,"[(0.852, 0.157), (0.909, 0.069), (0.778, 0.236), (0.915, 0.099)]","[9818.0, 60379.0, 63538.0, 65299.0]",19,C,b
4,Key.ico     ,0.735,0.07,0.767,0.053,76126.0,6.884714954157513,0,4,"[(0.674, 0.112), (0.75, 0.056), (0.666, 0.143), (0.767, 0.053)]","[8026.0, 69441.0, 73112.0, 76126.0]",19,C,b
5,KLAVER.ICO  ,0.4869565,0.1762918,0.453,0.191,81586.0,7.030962873290472,0,2,"[(0.348, 0.235), (0.453, 0.191)]","[11442.0, 81586.0]",19,C,b
6,KLOK.ICO    ,0.8318841,0.8996961,0.822,0.9,19625.0,1.8788664528172418,0,2,"[(0.892, 0.904), (0.822, 0.9)]","[18094.0, 19625.0]",19,C,b
7,Knife.ico   ,0.8347826,0.3647417,0.8,0.413,13747.0,11.302513411518914,0,1,"[(0.8, 0.413)]",[13747.0],19,C,b
8,Knight.ico  ,0.9449275,0.7173252,0.931,0.718,51185.0,2.649329173124582,0,8,"[(0.901, 0.701), (0.915, 0.748), (0.917, 0.697), (0.911, 0.716), (0.903, 0.716), (0.941, 0.707), (0.631, 0.59), (0.931, 0.718)]","[27591.0, 29752.0, 33050.0, 37054.0, 42894.0, 45049.0, 47323.0, 51185.0]",19,C,b
9,KONIJN.ICO  ,0.1942029,0.668693,0.198,0.661,15910.0,1.6300208122907425,0,1,"[(0.198, 0.661)]",[15910.0],19,C,b
